,0.0,0.5,0.9,0.99
max,"[1.2327366534432291, 533205.6747137874, 295957.43166090886, 165619.10967881512, 100041.95799007115, 63826.82203186115, 42792.940940743305, 29914.99207109497, 28887.627577221596, 27905.514997762504, 26966.313800704385, 26067.74518413762, 25207.785851314038, 24384.437612882783, 23595.837098858665, 23518.786472350184, 23442.104656078835, 23365.73504309813, 23289.66292275063, 23213.958174266965, 23138.544277025634, 23063.458147422276, 23055.965752470773, 23048.463125375627, 23040.989898689706, 23033.489473958838, 23026.02030172871, 23018.520206141282, 23011.064499874512, 23010.328976459117, 23009.567166741246, 23008.854309014234, 23008.118926882446, 23007.379830571834, 23006.65394504836, 23005.90554109559, 23005.835968327425, 23005.773917294613, 23005.713746915797, 23005.649816233166, 23005.587766204524, 23005.508793924895, 23005.433582734076, 23005.437343281938, 23005.437343281938, 23005.433582734076, 23005.442984106034, 23005.431702460606, 23005.433582734076, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938, 23005.437343281938]","[2.4654733068864583, 683509.2864555385, 325112.2312529135, 175317.835713304, 103546.30792338768, 65398.992954323745, 43487.32899260658, 30118.461862748616, 25617.81759845293, 23421.79459936567, 22082.98454105878, 21118.319824959406, 20334.651919325155, 19647.569907288453, 19018.30965308303, 18689.39237944526, 18500.546699377053, 18379.269051930394, 18291.152722586467, 18219.520576920528, 18156.150109601684, 18096.999585735135, 18064.812342582678, 18046.004715244377, 18033.876250000063, 18025.070504825355, 18017.934060575088, 18011.623854850393, 18005.728103194084, 18002.517424062662, 18000.64083569895, 17999.432197602862, 17998.55977687833, 17997.853155067944, 17997.231742001484, 17996.64719258393, 17996.331919882286, 17996.15127590348, 17996.035067362685, 17995.949925424036, 17995.887795328606, 17995.83026784498, 17995.77274072915, 17995.745127844188, 17995.7324719669, 17995.726719301292, 17995.72096663936, 17995.719816107416, 17995.719816107416, 17995.71751504397, 17995.716364512464, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108, 17995.715213981108]","[12.32736631329562, 1356135.7317360272, 385026.5744421958, 155870.90704272053, 77427.3079200615, 43913.44221985195, 27345.00384327695, 18259.717966438835, 13937.084571640211, 11411.960421126856, 9757.05906116393, 8588.984687199389, 7720.481350778547, 7049.24231340527, 6514.655104343641, 6096.436849998294, 5761.697771628655, 5488.819766286454, 5263.006497888253, 5073.788212368324, 4913.547337791147, 4776.608237937305, 4659.621344721986, 4559.025413516168, 4472.034363126901, 4396.439063071564, 4330.465803089215, 4272.672156797055, 4221.8765731923995, 4177.1742456889515, 4137.735858837714, 4102.864872160216, 4071.9716725092626, 4044.555402354747, 4020.187114151357, 3998.498088997689, 3979.1765065534028, 3961.9448422160667, 3946.5635836930937, 3932.8217226672396, 3920.535133216111, 3909.541483640191, 3899.6995220227504, 3890.883899286181, 3882.983761679315, 3875.901102647392, 3869.548849824622, 3863.8490893004887, 3858.73393857172, 3854.141826497317, 3850.0185133369387, 3846.314773198606, 3842.987494566857, 3839.997861833571, 3837.311250358899, 3834.896721214546, 3832.7261162306786, 3830.7748384025454, 3829.0201362966136, 3827.442319880679, 3826.023479690668, 3824.747464200116, 3823.5994453352996, 3822.56673437701, 3821.637937396576, 3820.802530411351, 3820.0508519166174, 3819.3749257856753, 3818.7663822772215, 3818.2189417676764, 3817.7263380652935, 3817.2831448108977, 3816.8843588514624, 3816.525398524822, 3816.2025161281226, 3815.911968678271, 3815.65043103814, 3815.4154088094565, 3815.203582596159, 3815.013290040301, 3814.84204296943, 3814.687768314379, 3814.5488077256373, 3814.423917263956, 3814.3114401390676, 3814.2101337010477, 3814.119169240209, 3814.0373049350414, 3813.963712751213, 3813.897564897251, 3813.8380337904387, 3813.784292026301, 3813.735512351694, 3813.691694385877, 3813.652424423029, 3813.6172888259944, 3813.585460667559, 3813.556939782119, 3813.5313126837164, 3813.508165923136]","[123.27365484033176, 1020540.5736905307, 180155.51504778292, 65928.70931981194, 34673.30918230309, 22549.780699761952, 16719.95212207565, 13503.741070818378, 11359.666616434424, 9830.700521882187, 8686.904067395875, 7800.05781453089, 7093.071403885101, 6516.8300744585895, 6038.576368644461, 5630.166596351456, 5277.376903955426, 4969.597426304576, 4698.755403726179, 4458.599023099148, 4244.211612776964, 4051.673501586094, 3877.558020459677, 3719.349789692783, 3574.971813136135, 3442.6931400320977, 3321.060286067656, 3208.843496007502, 3104.995835412957, 3008.603990431126, 2918.8971862716053, 2835.2074902733766, 2756.9530043239133, 2683.6242371504277, 2614.7741417469947, 2550.0073880748555, 2488.9732371591344, 2431.361081277529, 2376.8934734030095, 2325.322415908833, 2276.425271704438, 2230.0016015501337, 2185.870463124667, 2143.8682256931215, 2103.846300825792, 2065.669809650399, 2029.2156959438378, 1994.3717913667924, 1961.0354278411917, 1929.1124514619298, 1898.5161518304753, 1869.1671270206332, 1840.9919698579474, 1813.9228909880167, 1787.8973722410324, 1762.8574948825365, 1738.749351575117, 1715.5231992429622, 1693.1325917470476, 1671.5342629940176, 1650.6880134515764, 1630.556147458479, 1611.1035699519907, 1592.2972840101718, 1574.1066528670726, 1556.502793607718, 1539.4585825891281, 1522.9485228945862, 1506.9487526701116, 1491.4366688629348, 1476.39121204176, 1461.7922640345157, 1447.6209462426643, 1433.8594140177186, 1420.490786360429, 1407.4991938820838, 1394.8694880296378, 1382.5874139676948, 1370.6393369965397, 1359.012415412453, 1347.6944452636687, 1336.6738208769648, 1325.9395982122917, 1315.4811579742911, 1305.2885771997464, 1295.3522986270898, 1285.6632989555046, 1276.2128714207367, 1266.9928829930907, 1257.9953795628398, 1249.2128447728146, 1240.6380871876136, 1232.2642226468886, 1224.0847429258572, 1216.0933266005575, 1208.2839132500887, 1200.6507717993923, 1193.1884017518903, 1185.8914415510746, 1178.7548993268733]"
mean,"[1.2327366534432291, 64.49701819717636, 60.95336303649757, 57.616333865385776, 54.47834662349801, 51.537132159120986, 48.797448649427835, 46.25717284770112, 46.01469758665403, 45.77416037364309, 45.53554778191838, 45.29885382447236, 45.06404263410909, 44.83115236640744, 44.60016477653749, 44.577189636211, 44.55415510517141, 44.53120929511831, 44.50825107359081, 44.48528771485115, 44.46237680679318, 44.43948230130952, 44.43717977989461, 44.434902637711986, 44.432607773130755, 44.43028082857092, 44.427993622155206, 44.425699471139765, 44.42339837771263, 44.423179409324625, 44.42295326391117, 44.42277019550095, 44.42255123330566, 44.42231791530913, 44.42209895757244, 44.42186564432679, 44.421847697255565, 44.421847697255565, 44.42186564432679, 44.421847697255565, 44.42183692901979, 44.42182975019884, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181898197176, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661, 44.42181180315661]","[2.4654733068864583, 86.21648788214398, 70.02058613877074, 61.86884752053439, 56.64196535269, 52.72954025679182, 49.51008399991498, 46.7188592788452, 45.31592916892248, 44.52844642180965, 44.03051547859483, 43.67313897897054, 43.385425325614136, 43.13291370856597, 42.89873071727324, 42.77177578817104, 42.69778936042145, 42.65011587271959, 42.61555370161878, 42.58755893157214, 42.56282674321675, 42.53974930080017, 42.527142541815984, 42.51976820671806, 42.51501012523216, 42.51155814120013, 42.508750940865866, 42.50626618762218, 42.50395260451571, 42.5026841843135, 42.50197442780462, 42.50149141262486, 42.50116612287396, 42.50089669472921, 42.50066669779613, 42.50044984582492, 42.500344706271804, 42.50027242313079, 42.50023299606659, 42.50021328256193, 42.50020342581646, 42.500193569075556, 42.50018042676147, 42.50017057003123, 42.5001672844555, 42.50016399888028, 42.50016071330557, 42.50015742773137, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767, 42.50015414215767]","[12.32736631329562, 325.82461805683454, 209.91991964820124, 153.34364089823418, 120.18459237533837, 98.58912145118784, 83.52445845091458, 72.49694835423448, 64.72951694665002, 58.983295794854676, 54.57571061469718, 51.09972356601378, 48.29755564575104, 45.9979960973027, 44.08286784974023, 42.48840489495254, 41.146794033489805, 40.00782856235472, 39.03352480240974, 38.19461630000455, 37.468185698747526, 36.8360338358593, 36.28491145043992, 35.80266637907612, 35.37933088228007, 35.00665701378258, 34.67776380513643, 34.38686315549284, 34.1290621698603, 33.90031494357561, 33.697033551593, 33.516141281463234, 33.35498004989816, 33.21123972987632, 33.08291962647598, 32.968263360476065, 32.86574774796534, 32.77402649877958, 32.69191146666108, 32.618362249084534, 32.55245071844971, 32.49335652427191, 32.44035604222754, 32.392802839482705, 32.35012437898422, 32.311807905027386, 32.277402117163824, 32.24649646843742, 32.21873118838654, 32.193784793544424, 32.17136566825204, 32.15121513570213, 32.133103104816925, 32.11682009092513, 32.10217685715334, 32.08901160632245, 32.077170986696764, 32.06652114956461, 32.056943836011996, 32.048328770228125, 32.04058103648945, 32.03360978505573, 32.027339371440036, 32.02169809767205, 32.016621904320964, 32.01205433332945, 32.007942769996006, 32.004245874304836, 32.000918653157136, 31.997923628122813, 31.99523081938934, 31.992806561927292, 31.990624671979546, 31.98866271452543, 31.986894552993476, 31.9853052356671, 31.983876101563077, 31.9825885015622, 31.98143123858483, 31.980389401435826, 31.979451806036074, 31.978607273117746, 31.977848347668683, 31.977163857572574, 31.976546353607134, 31.97599210830973, 31.975493675927858, 31.975043612276846, 31.97463819388448, 31.97427369805159, 31.973946402752425, 31.97365258654372, 31.97338852848245, 31.973150508052207, 31.97293480509831, 31.972741418717458, 31.972566629193683, 31.972410435917034, 31.972269119505526, 31.972142679564648]","[123.27365484033176, 2553.3785817484713, 1381.5448577512313, 906.9669629959125, 672.8025741698863, 542.4976362937196, 463.86906491229405, 413.691142391023, 374.31540165660476, 342.5932642346074, 316.4952067893621, 294.65281221990944, 276.10933733166564, 260.17539535262324, 246.34163084187006, 234.04286797844233, 223.03760984430335, 213.13251231357887, 204.17095358172787, 196.02471218385443, 188.58777768180303, 181.77180048660432, 175.49354388122174, 169.6920708380894, 164.31532274259175, 159.31854805841357, 154.6630961755857, 150.31534140511573, 146.24598737589258, 142.42875807335503, 138.84110107417933, 135.46308051319204, 132.2770085592365, 129.26710708047065, 126.41929920826368, 123.72098695064018, 121.16077603521394, 118.72844826377543, 116.41476673946174, 114.21138447206957, 112.11068360956081, 110.10575125235832, 108.19029007345152, 106.35851055704669, 104.60514925660252, 102.92535456459525, 101.3146650736613, 99.7689801128362, 98.28452436701905, 96.8577909905853, 95.48555063802692, 94.1648011136251, 92.89276307349375, 91.66685239750262, 90.48466330194015, 89.3439531746752, 88.24263601328883, 87.17875545384764, 86.15048130350607, 85.15611268245733, 84.19404164999587, 83.26276540443315, 82.36087808846281, 81.48705127574986, 80.64004029216396, 79.81866637783673, 79.02182350369502, 78.24846751879616, 77.49761185659337, 76.76832895345382, 76.05973561071552, 75.37099533876967, 74.70132035996755, 74.0499633475752, 73.416209939161, 72.79939121787095, 72.19886645865908, 71.6140261556799, 71.04429471407607, 70.48911929254932, 69.94797743544736, 69.42037083256464, 68.90581960528131, 68.40387408669041, 67.91410039790632, 67.43608376681284, 66.96943155071668, 66.51376392515499, 66.06872118543399, 65.63395478545863, 65.20913839777118, 64.79395138955185, 64.38808992663525, 63.99126607176468, 63.60319590537426, 63.22361393832776, 62.852264942789326, 62.48890345074909, 62.13328625923485, 61.78519320865687]"
min,"[1.2327366534432291, 0.015269081213956873, 0.014513945767618733, 0.013827466519440426, 0.013207773844287925, 0.012649297887054618, 0.012145930275279836, 0.011691879694427526, 0.011648960589099176, 0.011606486909793622, 0.011564404535956412, 0.011522755810453554, 0.011481601453026307, 0.011440780979920928, 0.011400435656566043, 0.01139646970077265, 0.011392398199831412, 0.011388375023111021, 0.011384378827512968, 0.011380339118140213, 0.011376383272788794, 0.01137241186824725, 0.011372018734408964, 0.011371643933584476, 0.011371241218846216, 0.011370832752653092, 0.011370466699395504, 0.01137006214163515, 0.01136961234573423, 0.011369572857857687, 0.011369532407146611, 0.01136948617811497, 0.011369440912552424, 0.011369401425866682, 0.011369364828695536, 0.011369321490244937, 0.011369319564099246, 0.011369314748737872, 0.011369312822594464, 0.011369309933380579, 0.011369308007238803, 0.011369303191887219, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728, 0.011369301265747728]","[2.4654733068864583, 0.020420753143269937, 0.016685969816929238, 0.014869086565981609, 0.013760051276588787, 0.012973055564899047, 0.012356007816950499, 0.011841394269698628, 0.011578876500418148, 0.011431666063645018, 0.011339604776570436, 0.011274639477597848, 0.011223184605363172, 0.011178591643515657, 0.011137622416757269, 0.011115382137273566, 0.011102445325611067, 0.01109411168112692, 0.01108809292808595, 0.011083216363867278, 0.011078930253478362, 0.011074964553654953, 0.011072796412689828, 0.011071532284101878, 0.011070714042624373, 0.011070098614787369, 0.011069619285909221, 0.011069178340000905, 0.011068767552441463, 0.011068548478209633, 0.011068418863372398, 0.011068334889182832, 0.011068274647614377, 0.011068227185022296, 0.011068183373760128, 0.01106814230101684, 0.0110681213083991, 0.011068108530322942, 0.01106809940314375, 0.01106809392684346, 0.011068090275979612, 0.01106808662511817, 0.011068084799688354, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139, 0.011068082974259139]","[12.32736631329562, 0.07771414972835125, 0.05089573497366342, 0.03789656873824624, 0.030310965463048938, 0.025382176916881324, 0.021946604195237498, 0.019430746789138517, 0.01760374598106903, 0.01622241449381602, 0.015145773826504267, 0.014286506463204864, 0.01358759031719492, 0.013010229322986495, 0.012527095178601396, 0.012121601353683013, 0.011778131075038988, 0.011484923194666498, 0.011232944771089517, 0.011015157053586832, 0.01082597296671203, 0.010660919744282923, 0.010516591689040856, 0.010389973374371662, 0.01027857366638763, 0.010180313994656876, 0.010093450449020257, 0.010016509235949503, 0.009948235095998906, 0.009887577766909263, 0.009833612489470742, 0.009785543222765954, 0.009742677606350109, 0.009704416488040778, 0.009670235775607538, 0.009639675859514607, 0.009612336542035527, 0.009587863339703205, 0.009565943694680584, 0.00954630173410347, 0.009528692199999432, 0.009512898871467022, 0.009498729907301951, 0.009486013476699752, 0.009474598300444866, 0.009464347638946585, 0.00945514145580506, 0.009446870658805449, 0.009439439436060253, 0.009432761656039228, 0.009426759329819252, 0.009421363763734984, 0.009416513428826524, 0.009412152527418215, 0.009408230904409719, 0.009404703973137772, 0.009401531995134544, 0.009398679372861768, 0.009396113295158322, 0.00939380502296419, 0.009391728547440543, 0.009389860569893452, 0.009388179828305736, 0.00938666774088554, 0.00938530773799626, 0.009384083941079932, 0.009382982468723912, 0.00938199143024247, 0.009381099609016381, 0.00938029711486334, 0.009379575380790511, 0.009378925849538436, 0.009378341282791821, 0.009377815103973796, 0.009377341396968053, 0.00937691556015164, 0.009376532340083127, 0.009376187141300805, 0.009375876680615226, 0.009375597021608386, 0.009375345539231198, 0.00937511895468518, 0.009374915299887467, 0.009374731952654498, 0.009374566946276369, 0.009374418314551353, 0.009374284746449312, 0.009374164276523949, 0.00937405624906106, 0.009373958699127848, 0.00937387097139168, 0.009373792410633533, 0.009373721707077063, 0.00937365755106921, 0.009373599942341118, 0.009373548226017938, 0.009373501747277678, 0.009373459851343434, 0.00937342188347652, 0.009373387843581474]","[123.27365484033176, 0.6433976110667029, 0.3774477427310657, 0.26312925718198243, 0.20262066688040675, 0.1664608516364796, 0.14309250396131043, 0.12716359764337856, 0.11466635483588143, 0.1046006847829126, 0.0963209230373145, 0.08939154460690774, 0.0835080170251103, 0.07845111543174964, 0.07405897477457966, 0.07017368660490289, 0.06671249173038392, 0.06360969469483702, 0.06081252518181597, 0.058278043119404384, 0.05597103985522847, 0.05386232149050506, 0.05192577915617826, 0.05014122884887937, 0.048491533708906416, 0.04696203811417738, 0.04554013810038052, 0.04421492732019469, 0.042976940969506335, 0.04181779570187289, 0.04073024292213942, 0.03970789793607592, 0.03874511506529797, 0.03783688115305492, 0.03697872936295677, 0.03616667157313336, 0.03539711744119501, 0.03466685676678951, 0.03397298555193463, 0.03331288237197595, 0.032684172996004325, 0.03208469815233163, 0.03151249333500188, 0.030965767389901765, 0.030442880414295104, 0.029942331369640567, 0.029462742127275846, 0.02900284512311454, 0.028561475509694883, 0.02813755518409478, 0.02773009045695405, 0.02733816128301291, 0.0269609145493075, 0.026597558084059576, 0.026247355297564532, 0.02590962037864167, 0.025583716418897656, 0.025269048854227295, 0.02496506199287697, 0.024671233611972387, 0.02438707902641179, 0.02411214150053284, 0.023845992292650105, 0.02358822853306573, 0.023338473321188612, 0.02309637176736525, 0.022861589401322647, 0.02263381071662131, 0.022412735966420738, 0.02219808562665337, 0.021989593513304158, 0.021787009466438925, 0.021590094769123068, 0.021398624849625562, 0.021212384974164056, 0.02103117295040135, 0.02085479830076043, 0.02068307672061201, 0.02051583603408817, 0.020352910767989646, 0.020194143298393454, 0.020039384881101668, 0.01988849363300337, 0.019741332684593115, 0.019597772778069282, 0.019457690404667955, 0.019320967484098117, 0.01918749243663049, 0.01905715575157948, 0.01892985525086714, 0.018805491711264263, 0.01868397132570185, 0.018565202837472743, 0.018449101226826893, 0.01833558110343078, 0.018224564187310468, 0.01811597402577244, 0.018009737123430514, 0.017905782797256936, 0.01780404304003278]"
