test,train,val
0.029956601560115814,0.021443314850330353,0.021323826164007187
0.03379291296005249,0.021075919270515442,0.02270236238837242
0.07892278581857681,0.061880338937044144,0.06504084169864655
0.012371662072837353,0.009193035773932934,0.009054137393832207
0.09735558182001114,0.09233369678258896,0.09428317099809647
0.027330612763762474,0.020483864471316338,0.020796198397874832
0.022981300950050354,0.017180589959025383,0.016615090891718864
0.03512636944651604,0.02245740033686161,0.02310289442539215
0.06623855978250504,0.04962118715047836,0.048822611570358276
0.033213596791028976,0.044518567621707916,0.04190265014767647
