test,train,val
0.13304845988750458,0.1179608628153801,0.11957414448261261
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.07830581814050674,0.07402205467224121,0.07641518861055374
0.035867828875780106,0.0260605551302433,0.024882612749934196
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.09792699664831161,0.08838286250829697,0.08474554866552353
0.1486808806657791,0.15893742442131042,0.1598242074251175
0.25401318073272705,0.21577297151088715,0.2218177616596222
