test,train,val
0.06715942919254303,0.0858912467956543,0.07624536007642746
0.028742551803588867,0.018859047442674637,0.01861010119318962
0.03683071210980415,0.030189769342541695,0.030501578003168106
0.04351475462317467,0.043241679668426514,0.05063021928071976
0.06168682128190994,0.05800430104136467,0.05885354056954384
0.04256194829940796,0.03441121429204941,0.03534657135605812
0.050416070967912674,0.055073224008083344,0.054202429950237274
0.01769850216805935,0.012769080698490143,0.012828928418457508
0.01705850660800934,0.01694319397211075,0.016163509339094162
0.12984655797481537,0.11276078969240189,0.10840318351984024
