test,train,val
0.05555351451039314,0.06770579516887665,0.06431680172681808
0.09423036128282547,0.10455043613910675,0.11479627341032028
0.02834359183907509,0.022570820525288582,0.020057830959558487
0.028943533077836037,0.020479120314121246,0.02041766233742237
0.03735695034265518,0.026313798502087593,0.026427142322063446
0.03665271773934364,0.024042028933763504,0.02611181139945984
0.026612482964992523,0.017876364290714264,0.017514806240797043
0.019346266984939575,0.016843164339661598,0.017519289627671242
0.10708221048116684,0.09827625006437302,0.09166491776704788
0.054567113518714905,0.03981456533074379,0.04039304330945015
