test,train,val
0.08760232478380203,0.060395363718271255,0.06703303754329681
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.04939377307891846,0.04725553095340729,0.045929621905088425
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.05914769321680069,0.04389054700732231,0.047020409256219864
0.04889676347374916,0.04210628196597099,0.042207587510347366
0.042978283017873764,0.03120395727455616,0.0339648500084877
0.0438050851225853,0.04392736777663231,0.04596740007400513
0.06828043609857559,0.04954628646373749,0.053231652826070786
0.06573781371116638,0.04911869391798973,0.04989722743630409
