test,train,val
0.07461123168468475,0.05805469676852226,0.055451568216085434
0.07063648104667664,0.0733475312590599,0.07972348481416702
0.04917161911725998,0.035353876650333405,0.036927130073308945
0.052669499069452286,0.0365665964782238,0.036655209958553314
0.07020046561956406,0.054011039435863495,0.053238317370414734
0.019469842314720154,0.012997275218367577,0.013488395139575005
0.016228534281253815,0.021771283820271492,0.021425899118185043
0.02490955963730812,0.01969451829791069,0.018823282793164253
0.04874451830983162,0.033710360527038574,0.038089144974946976
0.016409864649176598,0.01276185642927885,0.013860180042684078
