test,train,val
0.03005247935652733,0.01679310016334057,0.020123057067394257
0.060534682124853134,0.06402827799320221,0.06733494251966476
0.021689612418413162,0.022702235728502274,0.02187858521938324
0.03419120982289314,0.022384867072105408,0.022815687581896782
0.012017665430903435,0.012507883831858635,0.012527684681117535
0.050890013575553894,0.0599331259727478,0.05784623324871063
0.040416836738586426,0.04335172474384308,0.04401540011167526
0.03800142928957939,0.02937435731291771,0.028542878106236458
0.02197410725057125,0.015423818491399288,0.016081223264336586
0.04017398878931999,0.026535822078585625,0.027237655594944954
