test,train,val
0.42112788558006287,0.3550865352153778,0.36158815026283264
0.06139123812317848,0.06958945095539093,0.07448996603488922
0.06993439793586731,0.05802688002586365,0.057655129581689835
0.306354284286499,0.26335954666137695,0.2646714746952057
0.4020300805568695,0.3533206284046173,0.3554730713367462
0.04941996932029724,0.0407864972949028,0.04027114063501358
0.4020300805568695,0.35332024097442627,0.3554719090461731
0.05529353767633438,0.045836009085178375,0.04806872829794884
0.19623251259326935,0.16415399312973022,0.1661570817232132
0.1484418660402298,0.11682961881160736,0.1210024282336235
