,0.0,0.5,0.9,0.99
max,"[28.05781470731092, 49575.76789261911, 49643.82013896464, 49727.41793434089, 49824.072286145725, 49933.4366075787, 50053.84484912505, 50184.736602680656, 50198.99477549146, 50213.75783087979, 50229.66152192941, 50245.8787630084, 50263.23283966986, 50281.18609152516, 50299.97829053141, 50302.17780252784, 50304.56359727035, 50307.00709028906, 50309.3331811556, 50311.88834081098, 50314.22418967598, 50316.76136246135, 50317.1041804273, 50317.41131559887, 50317.65084667466, 50317.90102030846, 50318.267019972125, 50318.54036529265, 50318.785915554115, 50318.785915554115, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.785915554115, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573, 50318.80444775573]","[54.24842062898644, 65623.372647282, 56975.21917656794, 53558.01779102648, 52062.28017811249, 51401.561456927986, 51133.878490784504, 51059.669192377005, 51028.76628773582, 51019.864784564415, 51021.970349425326, 51029.91933956531, 51041.07765594663, 51053.95624035998, 51068.002376692995, 51075.77055717538, 51080.385505084276, 51083.463306535756, 51085.81020361595, 51087.782370078734, 51089.64115046774, 51091.46561528359, 51092.399690373306, 51092.92136410086, 51093.227947313004, 51093.515372725575, 51093.754896601895, 51094.01405171386, 51094.311068017865, 51094.4543203647, 51094.5261801557, 51094.55971480042, 51094.578877476146, 51094.58845881989, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756, 51094.59804016756]","[242.48297901266372, 249284.5148488593, 176565.48217210712, 140437.71933617597, 118948.63088861828, 104780.20619292636, 94796.0752903043, 87427.55427030007, 81759.5539403799, 77287.28083827886, 73687.19199314373, 70742.37966097287, 68301.93274289943, 66257.5028078785, 64529.400883299684, 63054.99929959081, 61788.84587868365, 60695.44593813656, 59746.690908349185, 58919.99530801904, 58197.05780100323, 57562.85676689485, 57004.737720526355, 56512.37575653785, 56077.07648110538, 55691.4878715044, 55349.37230809861, 55045.37181625293, 54774.866036640655, 54533.871285072804, 54318.939114012246, 54127.066159334565, 53955.63905308595, 53802.35802230151, 53665.21811619056, 53542.435549206406, 53432.45570036262, 53333.895768242604, 53245.52466511904, 53166.2686712479, 53095.15460175733, 53031.33353298553, 52974.0331668347, 52922.576981406375, 52876.36038954666, 52834.84403153509, 52797.54086200284, 52764.01437326732, 52733.880912952096, 52706.7936879166, 52682.44083612433, 52660.542457260366, 52640.85209294701, 52623.14419480214, 52607.2152963088, 52592.88936324777, 52580.004486646874, 52568.41659952331, 52557.9903950945, 52548.61328198666, 52540.17663459343, 52532.582276608824, 52525.753568071705, 52519.60846429574, 52514.07984282234, 52509.10165725901, 52504.62272668558, 52500.591941345985, 52496.96889922724, 52493.70671757217, 52490.77016402623, 52488.12863642528, 52485.751557634816, 52483.613451551966, 52481.68885875636, 52479.957412900396, 52478.39827680085, 52476.9915859625, 52475.727157877154, 52474.589737168506, 52473.564073522946, 52472.64555702948, 52471.817981022796, 52471.07166387972, 52470.401521272666, 52469.79739355624, 52469.254199232935, 52468.76733932841, 52468.3256946341, 52467.92974421408, 52467.57440964139, 52467.25461301288, 52466.96527686884, 52466.70640011039, 52466.47290581556, 52466.25971735149, 52466.07191003159, 52465.899331624794, 52465.74705758801, 52465.61001177893]","[1405.396965277935, 2416089.3414884736, 1629955.3922126328, 1237069.2496881352, 1001482.2010562224, 844546.2493182595, 732553.7918667862, 648653.2696516289, 582776.926893822, 529683.6614305695, 485984.9991218079, 449392.6516419288, 418305.79825045815, 391570.85454263916, 368335.49953140476, 347931.6428073664, 329872.29614266765, 313776.1305553876, 299340.27096399874, 286321.01980583405, 274520.2151384135, 263774.96236259444, 253948.94873812344, 244929.4592831224, 236621.47410684737, 228944.39734641387, 221829.3167905498, 215217.02222798642, 209056.3439293985, 203302.65830146038, 197917.17724655545, 192865.8840201648, 188118.84130405347, 183649.59733411018, 179434.6419422768, 175453.07294724506, 171686.19890375194, 168117.28268862746, 164731.29477392335, 161514.6718078047, 158455.15595829976, 155541.6532556738, 152764.1006554553, 150113.3238549828, 147580.9534013121, 145159.34882411122, 142841.51116547067, 140621.01590529626, 138491.96603034716, 136448.91982165942, 134486.86592935445, 132601.17294384484, 130787.56279352157, 129042.06089279173, 127360.98627946782, 125740.90783192714, 124178.64856636584, 122671.23897741183, 121215.90781352924, 119810.0730863947, 118451.31930462571, 117137.39151758264, 115866.16079369506, 114635.64375808137, 113443.96915960786, 112289.38448751786, 111170.24619227233, 110084.9861631746, 109032.15672000474, 108010.37347181408, 107018.32745793644, 106054.78102301856, 105118.57521894494, 104208.61228968836, 103323.83932354092, 102463.2698233709, 101625.9673076294, 100811.04114004555, 100017.63459485232, 99244.95365717555, 98492.24237289638, 97758.75992299156, 97043.8212181946, 96346.76157417707, 95666.95780747545, 95003.80436271393, 94356.73211928652, 93725.18773732522, 93108.66119420911, 92506.64444722231, 91918.66135787965, 91344.25532221368, 90782.98868169251, 90234.45028522654, 89698.22824798839, 89173.94440923315, 88661.22729813546, 88159.72817548997, 87669.10328811343, 87189.02207829122]"
mean,"[28.05781470731092, 2.482559283976432, 3.0369928715160106, 3.504314520795566, 3.9158828675202755, 4.287812793307086, 4.629701087789174, 4.947804699360842, 5.245396036106793, 5.526540357469108, 5.793634412408641, 6.0485416483321295, 6.292742835249682, 6.527444170516211, 6.753636816811828, 6.971961419647987, 7.183284786515278, 7.388220741654212, 7.587279803008234, 7.780911917908815, 7.969519179022236, 8.153451593449981, 8.332986175382569, 8.508428334688588, 8.680027138436298, 8.84800818072832, 9.01257212295428, 9.173905550362644, 9.332174251877447, 9.48752987658243, 9.640117102124288, 9.79006480096416, 9.93749358614498, 10.082515066582257, 10.225230024455632, 10.365734810064763, 10.50412131659508, 10.64046903239207, 10.774856916582987, 10.907358951550883, 11.038041527875865, 11.166970530857881, 11.294205518078016, 11.419804093596461, 11.543819185194398, 11.666301291223503, 11.787300577467017, 11.906861308334447, 12.025026393096859, 12.141837964387934, 12.257335176270654, 12.37155438711901, 12.484531571743524, 12.596299259635344, 12.706891131017771, 12.816337624204714, 12.924666969097812, 13.03190960589418, 13.138091292784068, 13.243237549258215, 13.347373265667718, 13.45052232999396, 13.552707270353668, 13.653950143564911, 13.754272975495601, 13.853695753854796, 13.952235710979245, 14.04991461387269, 14.146749505986788, 14.242759963785366, 14.337960203338284, 14.432367811605264, 14.525996699436574, 14.61886412986558, 14.710983761575607, 14.802369555907397, 14.893035774442124, 14.98299697676085, 15.0722642992114, 15.16085147749272, 15.248771100648094, 15.336034649719084, 15.422651807327352, 15.508634849747013, 15.59399282835435, 15.678738812277281, 15.762882672319707, 15.846433292747104, 15.929400712095687, 16.011791895637362, 16.093619873227915, 16.174891806314566, 16.255613965890802, 16.3357972471446, 16.415449546730088, 16.494579916358674, 16.573193802653492, 16.65130121403018, 16.72890589384965, 16.806018141935755]","[54.24842062898644, 3.1718675160327834, 3.194612835912093, 3.323488980842167, 3.492313847443259, 3.675836527695559, 3.8626796146699287, 4.047481603083878, 4.227543266189462, 4.402003085304748, 4.570702247595558, 4.73381679174346, 4.891665842942399, 5.044616324816281, 5.193031215009377, 5.3372106444936875, 5.477481942918655, 5.614136296946955, 5.747429069556811, 5.877588391330134, 6.00481947714079, 6.129303728279879, 6.251198720228202, 6.370655816369666, 6.487810594953593, 6.60278653676253, 6.71569479488404, 6.826640336217853, 6.935716098896411, 7.043009155143482, 7.148599098377462, 7.252561285550309, 7.354965505873433, 7.455875200535808, 7.555349508901674, 7.653445868230953, 7.750216601799395, 7.845710403315359, 7.939973699651628, 8.033049458994178, 8.124978838785895, 8.215800320807178, 8.305550249839975, 8.394263331228636, 8.481972098253669, 8.568707063360415, 8.654497829450467, 8.73937220299, 8.823356947587659, 8.906476598929421, 8.988756718725254, 9.070218915204345, 9.15088564622666, 9.230777157480015, 9.309914311670278, 9.388315586405747, 9.465999266267287, 9.542983170229354, 9.619284975691906, 9.694919918139993, 9.769903772994578, 9.844251418307561, 9.917977161648322, 9.991095332799528, 10.063618616484327, 10.135559782560701, 10.206931690359125, 10.277746199212958, 10.348014209405878, 10.417747318815092, 10.486956197928722, 10.555651158211683, 10.623842697797821, 10.691539923660763, 10.758752689230676, 10.825489499085391, 10.891758586217309, 10.957569975241688, 11.022930844479667, 11.087849667954591, 11.152334165243465, 11.216391827342202, 11.280030424246668, 11.34325552291945, 11.406075970286052, 11.468497435965515, 11.53052639972151, 11.592170131859861, 11.653434263492558, 11.714324270661846, 11.774846434630957, 11.835006398659646, 11.894810130845736, 11.954262507477202, 12.013369212750522, 12.072134393021207, 12.130563474988213, 12.188661753189022, 12.246433935720628, 12.303884616074264]","[242.48297901266372, 12.847779104212087, 10.867754979212863, 9.734233342099628, 8.992357420029863, 8.468449644449063, 8.080089194228446, 7.782541599197295, 7.549011781435704, 7.362602904983518, 7.211980460143701, 7.08922243971212, 6.988606414753898, 6.905883049735444, 6.837823877250385, 6.7819157217268815, 6.736186753267808, 6.6990610215570765, 6.6692603777432895, 6.645736757479734, 6.627623393752628, 6.61419445378442, 6.604839206507098, 6.599039310033613, 6.59635286801826, 6.5964002933969565, 6.59885429794684, 6.6034307038867235, 6.609882067453971, 6.617992156572104, 6.62757176148321, 6.638454021036827, 6.650492685262554, 6.663557583230515, 6.677533328655439, 6.692317703293991, 6.707820583302882, 6.723960865341246, 6.740666906526134, 6.757874011367757, 6.775524270558884, 6.793566349425636, 6.811954697248448, 6.830648133821941, 6.849609126398667, 6.868804271403526, 6.888204126356003, 6.907782318784664, 6.9275152383040615, 6.947379801334307, 6.9673581563892, 6.987432240043948, 7.007586423358378, 7.027806949025283, 7.048081008286725, 7.068397075429225, 7.088745601020691, 7.109117687392701, 7.129504259623171, 7.149898505432287, 7.170293189754012, 7.190683014076709, 7.211062382885943, 7.231426912315073, 7.25177276516382, 7.2720958851965545, 7.292392795648036, 7.312660201795138, 7.332896203739511, 7.3530976212792805, 7.373263056852671, 7.393390630613289, 7.4134783664051795, 7.433524970550839, 7.453529835698719, 7.473491150816876, 7.493407810636485, 7.513279031586662, 7.533104370389564, 7.5528829652784015, 7.572615063450795, 7.592299354351489, 7.6119367945128085, 7.631526378754467, 7.651067478957846, 7.670560227061699, 7.690005103767515, 7.709401045549267, 7.728748124523377, 7.748047553923825, 7.7672985779316, 7.786500851788497, 7.80565554081431, 7.824761913898971, 7.843819950037134, 7.862830418083931, 7.881793720583518, 7.900710159599858, 7.919578592872942, 7.938399752918979]","[1405.396965277935, 115.63152528407807, 94.66802905700179, 82.23268743705286, 73.77903594242687, 67.55999896985152, 62.74190014265555, 58.869985253839445, 55.670037667673334, 52.96925999177412, 50.65123005657564, 48.63426312011691, 46.859138860193305, 45.28173695302868, 43.86843068359255, 42.592969363116744, 41.434699287168876, 40.37705699357572, 39.40656916769101, 38.51215041610595, 37.68459386025575, 36.91617428835332, 36.200353976886, 35.53156377341965, 34.90502724776889, 34.31661175111727, 33.76273092872361, 33.24025134855314, 32.74642816479811, 32.27883200242476, 31.835313613741395, 31.413957569269304, 31.01305996681688, 30.63109332500147, 30.266682711310317, 29.91858511951717, 29.585684261816244, 29.266961302749465, 28.96148935032838, 28.668429745444087, 28.387009082563264, 28.11652505479761, 27.856326867250477, 27.60582134014367, 27.364461487649823, 27.131739333937524, 26.907185180945994, 26.690368371090916, 26.480884356222596, 26.278358676429352, 26.082443935092677, 25.892817726812716, 25.709174363356485, 25.53123270331285, 25.35872663748302, 25.1914103330075, 25.029048169566416, 24.871423714679754, 24.718330706462925, 24.569577927274747, 24.424978433510375, 24.28436450749624, 24.147575481376617, 24.014457834290226, 23.884864169648885, 23.758660937246415, 23.63571648266635, 23.515905873981996, 23.39911430855451, 23.285231217498065, 23.174152802218504, 23.065776540940092, 22.96000748669407, 22.85675692216899, 22.75593796840789, 22.65746721727479, 22.561265443219458, 22.46726030991775, 22.37537754261429, 22.285548978383183, 22.197710554516174, 22.111798838497588, 22.027753818150313, 21.945517115232192, 21.865036616785726, 21.786256434913454, 21.709126714743526, 21.633598753308636, 21.55962645812923, 21.487165466154256, 21.416172317169192, 21.346605879635813, 21.278425783225725, 21.211593103225887, 21.146070291927586, 21.081824282458776, 21.01882034345614, 20.957024593076465, 20.896404293009883, 20.836930172179862]"
min,"[28.05781470731092, 0.08780839617185136, 0.10746424951410016, 0.1240535375539976, 0.1386818802940168, 0.15191862085759336, 0.16410089418876878, 0.17545029017279246, 0.18608123881843477, 0.1961375273371236, 0.20570380155462487, 0.21484515667742968, 0.22361333765147598, 0.23205132042103468, 0.24019336842155456, 0.24806241366683476, 0.2556888919969707, 0.2630942379707098, 0.2702965476294547, 0.2773111458169258, 0.2841526700711991, 0.29083305869552, 0.29736199034258026, 0.3037502805229049, 0.3100065344112148, 0.31613869539693706, 0.32215363482744147, 0.32805802234081766, 0.3338577523557422, 0.3395579498351224, 0.34516369006339387, 0.35067947294908247, 0.3561094785669631, 0.3614576114175869, 0.3667274153181088, 0.3719222386447156, 0.3770452177005563, 0.38209916901278557, 0.38708681441943116, 0.3920107204957408, 0.396873242015885, 0.4016766082699007, 0.40642293387960793, 0.4111141774419945, 0.41575218673150444, 0.42033875719392405, 0.42487552176414917, 0.42936412439773375, 0.43380599559368427, 0.4382025564438701, 0.4425551415494988, 0.4468650672275171, 0.45113358713841833, 0.4553618195986801, 0.4595508918612469, 0.4637018803302387, 0.46781578382044053, 0.4718935722381371, 0.47593618857667425, 0.47994447788379807, 0.4839193365164243, 0.48786153858946435, 0.4917719405839578, 0.49565121047254596, 0.499500157628141, 0.5033194498996241, 0.5071097297348013, 0.510871670270755, 0.5146058386426594, 0.5183129160800916, 0.521993426159278, 0.5256479269428119, 0.5292769836240138, 0.5328811685552486, 0.5364608265578271, 0.5400166267390153, 0.5435488571432103, 0.5470581021968732, 0.550544776022699, 0.5540092795253917, 0.5574520260635204, 0.5608735160600669, 0.5642739626249537, 0.5676538671636109, 0.5710134474400758, 0.5743532306175455, 0.5776734874061152, 0.5809746248287343, 0.5842568951288076, 0.5875206145182831, 0.5907660904537834, 0.593993621972387, 0.5972034531570409, 0.6003959844080626, 0.603571467064513, 0.6067301688114245, 0.6098722815670727, 0.612998037604286, 0.6161077539997929, 0.6192017176029527]","[54.24842062898644, 0.11226048360605587, 0.11308714365623666, 0.1176714477615596, 0.12367230163326894, 0.13019631629916073, 0.13684078014260678, 0.14341596204471105, 0.14982600003241758, 0.15604021968764245, 0.16205289038991727, 0.1678700432184879, 0.17350292721340543, 0.17896443826375108, 0.18426746653095433, 0.1894224290110419, 0.1944408834423056, 0.19933308242938355, 0.20410792715498713, 0.2087735569155745, 0.21333702960173642, 0.21780487024414127, 0.22218259607968202, 0.22647552179607008, 0.23068840820093575, 0.2348255968614137, 0.2388910426973536, 0.24288832655781728, 0.24682072435000824, 0.25069133520618575, 0.25450294876905133, 0.2582581909665323, 0.2619594860946071, 0.26560908943987, 0.2692091293796612, 0.27276154269639036, 0.2762681666268406, 0.27973073571903656, 0.28315085379520316, 0.28653004098780444, 0.28986971667223055, 0.293171267024853, 0.2964359540804605, 0.299664970957083, 0.30285947015594983, 0.30602052119434286, 0.30914916143876014, 0.3122463426786067, 0.31531303642099967, 0.3183500796757265, 0.32135833491504295, 0.32433858154842193, 0.3272916061246186, 0.33021814957475426, 0.33311887825393954, 0.3359944711959299, 0.33884557868831466, 0.341672803429665, 0.3444767436383345, 0.34725797344626574, 0.35001698413408316, 0.35275437657283437, 0.35547059100846157, 0.3581661288422422, 0.36084143401141755, 0.36349697254077856, 0.36613317452878213, 0.3687504166515759, 0.37134913756223364, 0.3739297421691757, 0.3764925843712123, 0.37903800596505965, 0.3815663739675438, 0.38407802516783895, 0.38657326726321967, 0.3890524159800838, 0.39151581286112463, 0.39396373558741543, 0.39639647083821455, 0.3988142789565563, 0.4012174472821453, 0.4036062199461378, 0.40598086833265434, 0.4083416216805578, 0.41068875375917846, 0.41302247981089746, 0.4153430089283618, 0.4176505778752185, 0.41994540029706173, 0.4222276840273878, 0.4244976313066076, 0.4267554061247317, 0.4290012333615901, 0.431235315944594, 0.4334577869364874, 0.43566887232955753, 0.4378687125721422, 0.4400574922434328, 0.44223535971382777, 0.4444025227555719]","[242.48297901266372, 0.45772555627935685, 0.38722023889524326, 0.3468564667763548, 0.3204389839921582, 0.3017832932776912, 0.28795484436866425, 0.2773607311559516, 0.2690467450744525, 0.26241106593544794, 0.2570500459886232, 0.25268154659321085, 0.24910176181418267, 0.24615940023267963, 0.24373949063613418, 0.2417524728595947, 0.24012815018770062, 0.23881035132082507, 0.23775356950576138, 0.2369204849233777, 0.23628018972521786, 0.23580687537080972, 0.23547876956104444, 0.23527740907788594, 0.23518703927320284, 0.23519416605144478, 0.23528713190582662, 0.2354557889284442, 0.23569133579226442, 0.23598607421021017, 0.23633326900825752, 0.2367269645341097, 0.23716192453095541, 0.23763354432709216, 0.23813772323699947, 0.23867081120828312, 0.23922959619458908, 0.23981115605704756, 0.24041296289511982, 0.2410327010421979, 0.2416683316022519, 0.24231803981517375, 0.24298016203710346, 0.24365322013677843, 0.2443358977156071, 0.24502703844601556, 0.24572557199829295, 0.24643051077337413, 0.24714105505017564, 0.24785640246733642, 0.24857586630317205, 0.2492988213635863, 0.2500247353278864, 0.25075307033492855, 0.25148341534083646, 0.2522153435917284, 0.2529485011698832, 0.2536825517273181, 0.2544172342379024, 0.2551522634571447, 0.2558874042839322, 0.2566224574496555, 0.2573572170314619, 0.25809151497424665, 0.2588252085465036, 0.2595581922964191, 0.26029028682617134, 0.26102143875372064, 0.2617515595573161, 0.2624805055138064, 0.2632082437613088, 0.26393469770666134, 0.26465981826893575, 0.26538353606411474, 0.26610583127753074, 0.2668266468390765, 0.2675459586483644, 0.2682637539851292, 0.2689799920640416, 0.2696946435912919, 0.27040768287337913, 0.2711191221188085, 0.2718289016893944, 0.2725370682668938, 0.2732435601193078, 0.27394842227830707, 0.2746516356167844, 0.275353199001213, 0.27605309787709087, 0.27675132988608114, 0.2774479047106055, 0.2781428381795807, 0.2788361262470915, 0.2795277642384052, 0.2802177542024522, 0.28090610318748827, 0.28159283763916165, 0.28227794629741604, 0.28296144740654233, 0.2836433540083691]","[1405.396965277935, 4.414616360798362, 3.614959397088748, 3.140433215145863, 2.817772721809776, 2.580365318681687, 2.396414672895304, 2.248575198095971, 2.1263881820023336, 2.023258316363534, 1.9347410031810985, 1.8577185846570943, 1.7899299153956327, 1.7296907237544668, 1.6757172059942034, 1.6270071240560966, 1.582772403922128, 1.5423802871848356, 1.5053162197514858, 1.4711571277442537, 1.4395513691356514, 1.4102040539160918, 1.382865380972564, 1.3573228107261832, 1.333393626385927, 1.3109203214253042, 1.2897660411160907, 1.2698110439700563, 1.2509502623701292, 1.2330910683581344, 1.2161514444759416, 1.2000582290495878, 1.184746446073029, 1.1701575708207688, 1.1562392338521632, 1.1429439284620253, 1.130228990296793, 1.1180554939768195, 1.1063881264881381, 1.0951948338021098, 1.084446096289086, 1.0741149573082323, 1.0641767705984502, 1.0546088340885849, 1.0453900475400268, 1.036501217986886, 1.0279244032131232, 1.0196430375277818, 1.0116417512620368, 1.0039062508796022, 0.9964232401658005, 0.9891803718985392, 0.9821660856111704, 0.9753695271612315, 0.9687806802505153, 0.9623899264066131, 0.956188483240659, 0.950167955141157, 0.9443205798005102, 0.9386389467768108, 0.933116091706985, 0.9277453826959836, 0.9225207614157044, 0.917436293161888, 0.912486471863673, 0.9076660804082524, 0.9029702249200446, 0.8983940691758578, 0.8939332087248422, 0.8895834759512028, 0.885340865999098, 0.8812014744245241, 0.8771616118496512, 0.8732180140206595, 0.8693672275654503, 0.8656060717053502, 0.8619316655913496, 0.8583411622176508, 0.8548316916460543, 0.8514007418078469, 0.848045701619113, 0.8447642713351047, 0.8415541923776961, 0.8384131785421733, 0.835339238033298, 0.832330231488061, 0.829384326898026, 0.8264995984265991, 0.8236742996253951, 0.8209066691913461, 0.8181951461368973, 0.8155380449964308, 0.8129339450269482, 0.8103813047892189, 0.807878823757064, 0.805425015923973, 0.8030185382690335, 0.8006582585987218, 0.7983429479925853, 0.7960713898668368]"
