param,test,train,val
0.0,1.2186676263809204,1.2095578908920288,1.238206148147583
0.3,1.2183245420455933,1.2092190980911255,1.2378613948822021
0.6,1.2176600694656372,1.2085576057434082,1.2371876239776611
0.9,1.216068148612976,1.2069796323776245,1.2355796098709106
